Episode,Steps,Reward,Epsilon,Loss,Info
1,29,29.0,N/A,,{}
2,19,19.0,N/A,,{}
3,21,21.0,N/A,,{}
4,24,24.0,N/A,,{}
5,15,15.0,N/A,,{}
6,26,26.0,N/A,,{}
7,30,30.0,N/A,,{}
8,16,16.0,N/A,,{}
9,25,25.0,N/A,,{}
10,21,21.0,N/A,,{}
11,14,14.0,N/A,,{}
12,14,14.0,N/A,,{}
13,15,15.0,N/A,,{}
14,13,13.0,N/A,,{}
15,16,16.0,N/A,,{}
16,18,18.0,N/A,,{}
17,20,20.0,N/A,,{}
18,15,15.0,N/A,,{}
19,18,18.0,N/A,,{}
20,11,11.0,N/A,,{}
21,17,17.0,N/A,,{}
22,14,14.0,N/A,,{}
23,15,15.0,N/A,,{}
24,41,41.0,N/A,,{}
25,18,18.0,N/A,,{}
26,22,22.0,N/A,,{}
27,15,15.0,N/A,,{}
28,18,18.0,N/A,,{}
29,16,16.0,N/A,,{}
30,54,54.0,N/A,,{}
31,76,76.0,N/A,,{}
32,31,31.0,N/A,,{}
33,34,34.0,N/A,,{}
34,27,27.0,N/A,,{}
35,26,26.0,N/A,,{}
36,15,15.0,N/A,,{}
37,67,67.0,N/A,,{}
38,20,20.0,N/A,,{}
39,50,50.0,N/A,,{}
40,36,36.0,N/A,,{}
41,30,30.0,N/A,,{}
42,18,18.0,N/A,,{}
43,17,17.0,N/A,,{}
44,65,65.0,N/A,,{}
45,33,33.0,N/A,,{}
46,34,34.0,N/A,,{}
47,39,39.0,N/A,,{}
48,73,73.0,N/A,,{}
49,15,15.0,N/A,,{}
50,75,75.0,N/A,,{}
51,30,30.0,N/A,,{}
52,48,48.0,N/A,,{}
53,47,47.0,N/A,,{}
54,49,49.0,N/A,,{}
55,46,46.0,N/A,,{}
56,58,58.0,N/A,,{}
57,62,62.0,N/A,,{}
58,80,80.0,N/A,,{}
59,49,49.0,N/A,,{}
60,80,80.0,N/A,,{}
61,80,80.0,N/A,,{}
62,80,80.0,N/A,,{}
63,80,80.0,N/A,,{}
64,80,80.0,N/A,,{}
65,48,48.0,N/A,,{}
66,80,80.0,N/A,,{}
67,64,64.0,N/A,,{}
68,80,80.0,N/A,,{}
69,71,71.0,N/A,,{}
70,80,80.0,N/A,,{}
71,80,80.0,N/A,,{}
72,80,80.0,N/A,,{}
73,80,80.0,N/A,,{}
74,80,80.0,N/A,,{}
75,80,80.0,N/A,,{}
76,80,80.0,N/A,,{}
77,65,65.0,N/A,,{}
78,80,80.0,N/A,,{}
79,80,80.0,N/A,,{}
80,80,80.0,N/A,,{}
81,80,80.0,N/A,,{}
82,80,80.0,N/A,,{}
83,80,80.0,N/A,,{}
84,80,80.0,N/A,,{}
85,80,80.0,N/A,,{}
86,60,60.0,N/A,,{}
87,80,80.0,N/A,,{}
88,54,54.0,N/A,,{}
89,80,80.0,N/A,,{}
90,80,80.0,N/A,,{}
91,80,80.0,N/A,,{}
92,72,72.0,N/A,,{}
93,80,80.0,N/A,,{}
94,80,80.0,N/A,,{}
95,80,80.0,N/A,,{}
96,80,80.0,N/A,,{}
97,80,80.0,N/A,,{}
98,80,80.0,N/A,,{}
99,80,80.0,N/A,,{}
100,80,80.0,N/A,,{}
101,80,80.0,N/A,,{}
102,80,80.0,N/A,,{}
103,75,75.0,N/A,,{}
104,80,80.0,N/A,,{}
105,80,80.0,N/A,,{}
106,80,80.0,N/A,,{}
107,80,80.0,N/A,,{}
108,80,80.0,N/A,,{}
109,80,80.0,N/A,,{}
110,80,80.0,N/A,,{}
111,80,80.0,N/A,,{}
112,80,80.0,N/A,,{}
113,80,80.0,N/A,,{}
114,80,80.0,N/A,,{}
115,80,80.0,N/A,,{}
116,80,80.0,N/A,,{}
117,80,80.0,N/A,,{}
118,80,80.0,N/A,,{}
119,80,80.0,N/A,,{}
120,80,80.0,N/A,,{}
